QA Specialist,"Are you enthusiastic? Are you hungry to learn (or just hungry in general)? Do you love watching TV shows & movies? Are you highly organized, efficient, and meticulous? Well then... This is the place for you!
The QA Specialist will be the final gatekeeper to ensure only good quality videos are served on iflix. You will be watching a lot of TV show and movies, making sure the videos are good to be published, and strive to get them published on time!
You will get to watch a lot of TV shows and movies!
You will need to make sure the videos are done right and in good quality.
You will strive to get content ready to be published ASAP.
You will have to be really passionate about TV shows and movies!
WE WANT YOU IF YOU ARE:
Highly attentive to detail, have keen eye (and ear) for anything out of ordinary while working at fast-forwarded speed.
Have sense of urgency and adapt to changes promptly.
Intermediate computer skills, preferably with video editing experience.
Able to communicate well in English plus in any other local languages. Korean literacy will be an added advantage.
1 - 2 years working experience. Fresh grads are welcome!
Really passionate about TV and movies!
Sound like you? Apply now!"
Construction Admin Assistant COMAYDA M SDN BHD Kota Kinabalu,"RESPONSIBILITIES
To perform data entry.
To provide clerical and administrative support functions such as recording, photocopying, scanning and

filing of documents.
To maintain an efficient filing system of the department.
To perform other related tasks as assigned by the Management.
REQUIREMENTS
Possess at least SPM STPM or equivalent.
Fresh graduates are encouraged to apply.
Required languagess English and Bahasa Malaysia.
Computer literate.
Meticulous and able to work with minimum supervision.
BENEFITS
Salary Range RM1,100 RM1,400"
APAC HR Services Team Leader (6-months Contract),"The APAC HR Services Team Leader (6-months Contract) is responsible for overseeing the daily workloads of the HR Services function and delivering HR services efficiently and effectively for Asia through prompt and accurate processing of requests in accordance with Service Level Agreement (SLA) and in compliance with Company policies & procedures, statutory and legal requirements.
Specified responsibilities:
 Monitor, process, maintain and update Human Resource Information System (Workday) for all phases of employment and staff movements.
 Monitor, process and generate employment changes letters within SLAs for all phases of employment and staff movements.
 Coordinate, administer and support onboarding and off boarding activities.
 Verify transactions in Workday and review documents generated to ensure data integrity and data accuracy of Workday, as well as effective services delivery to meet business requirement.
 Ensure the team to meet business requirements. Support team members to follow-up on open items right up to issue resolution as required.
 Support and provide information as requested for all APAC Audit and governance reporting requirements.
 Identify, review and streamline existing process, templates, workflow to increase efficiency of HR Services delivery.
 Administer and maintain employee group hospitalization and medical plan.
 Ensure the team to provide accurate and timely transmission of payroll changes instructions, documents and data to payroll personnel within agreed timeline.
 Support APAC HR Services Manager in managing and leading APAC HR Services enhancement initiatives and projects.

Requirements/Skills
 Bachelors or Certificate level degree in Human Resources or business related discipline.
 Candidates must have at least 4 years of relevant work experience and using any HRIS.
 MNC and shared services background is preferred but not mandatory.
 Regional experience is preferred but not mandatory.
 Customer First approach in all aspects of work. High level of good communication and influencing skills.
 Results driven and takes responsibility for all work.
 High attention to detail and accurate in all work.
 High level and broad thinking approach to continuous improvement and being solution focused.

Are you a Brightstar?
At Brightstar, we handle every stage of a mobile devices lifecycle for our customers-from the moment its manufactured to trade in and re-sale, and everything in between.

This industry moves fast. But so do we. Whats innovative today might become outdated tomorrow, so we have to be able to see the big picture and sweat the small details. Doing that successfully takes trust, teamwork and a knack for making the complicated simple.

Were looking for creative, quick and relentless talent to join the team. Are you one of us?"
Air Import Customer Service,"Job Description


Ensure smooth and timely freight process flow.
Ensure accurate and timely data entry into our operating system.
Track and trace Air Import files as required. This can be either internally via exp.o or externally via airline websites or by telephone to airline offices.
Ensure timely delivery of freight to customers for Import shipments.
Ensure documents are timely sent to customer or broker for customs purposes.
Ensure accurate and timely client and vendors billing.
Interact with our customers in arranging their international shipments, meeting customer service standards.
Contribute to maintain strong relationships with vendors (airlines, trucking companies, and others).
Meet compliance at all times to regulations. This includes internal policies and procedures such as Operational Process Standards (OPS) and external government regulations or customers policies / requirements.
Understand department process flow, constantly looking for areas of improved efficiency.
Ensure all customers standard operating procedures are followed and updated in the DLSOP.
Meet KPI standards, as per the companys procedures.
Overseas communications, timely responses to emails and requests (internal and external)
Promote compliance in diligently following all company policies and regulations and performing the task at hand with outstanding integrity and pride. Qualifications


Candidate must possess at least a Diploma, Bachelor's Degree or equivalent.
At least 2 to 3 years of related working experience in similar position.
Good knowledge of computer and MS Office applications.
Good command of written and spoken English.

Additional Information

Expeditors offers excellent benefits

Medical Insurance
Employee Stock Purchase Plan
Training and Personnel Development Program
All your information will be kept confidential according to EEO guidelines."
Project Associate (Part Time),"Looking for a part-time job that allows you to be part of a fast-growing startup? Supahands is an outsourcing platform created to help busy entrepreneurs and businesses alike. Our SupaAgents work hard behind the scenes to help individuals and businesses be more productive.
If you like the idea of being a part of an exciting startup and to feel that youre helping people and businesses achieve their goals, please apply and join the team at Supahands!

Working in our Kuala Lumpur office across a range of projects, you will be responsible for variety of administrative and clerical duties necessary to ensure client projects proceed efficiently and profitably including database cleaning, lead generation, data entry, document formatting, content moderation as well as other general tasks. Your primary responsibilities will include routine daily tasks such as:

Executing project tasks and controls.
Conducting detailed quality checks.
Assisting remote team members with their problems and/or questions via our internal communication platform
Ensuring all project administration tasks are completed in accordance with customer and internal processes and governance
Providing general support to the Client Success Manager and carrying out other ad hoc tasks as assigned
Minimum 24 working hours a week, between 9am-6pm, Mondays to Fridays
No Weekend/Night shifts.
This is NOT a position that you can work remotely.
Minimum contract period of 4 months.
Roles & Responsibilities

Candidate must be able to operate in a fast-paced professional environment, participate in business and administrative tasks, project control activities, and effectively managing multiple priorities. To be successful you will need effective organisational skills, attention to detail and the ability to meet deliverables in a timely manner.
Attention to detail and high level of accuracy.
Punctuality and reliability.
Fast learner, self-driven and results oriented, doing what it takes to meet targets.
High level of commitment, integrity and have an excellent can do working attitude.
Strong organisational and planning abilities with efficient time management skills, able to multitask and manage ones own time.
Resourcefulness, always looking for and trying different ways to arrive at a solution if the general route does not work.
Good spoken and written English. Proficiency in Bahasa Malaysia and/or Mandarin and/or Bahasa Indonesia is an advantage!
Superior communication and interpersonal skills, including telephone manners and manners in general!
Technically savvy, excellent internet research and navigation skills, high proficiency with spreadsheets, and typing skills like a pro (min 35 wpm). Basic knowledge of Adobe InDesign is a plus.
Possess or working towards a Diploma, Advanced/Higher/Graduate Diploma, BA or other professional degrees.
Requirements"
Junior Accounts Clerk,"Responsibilites:
Assists in Accounting tasks
Data processing
Issues invoices and credit notes

Requirements:
SPM or above qualifications
LCCI qualification will be an added advantage
Computer literate
No work experience required

Interested applicants are invited to fax or e-mail to:
Fax: +(603)-3342 8285
Email: jessica@hai-o.com.my"
Spa Receptionist,"The Four Seasons Hotel Kuala Lumpur is looking for top talent to join the team.

About Four Seasons Hotel Kuala Lumpur

Four Seasons Hotel and Residences Kuala Lumpur is located in the thriving business and financial district Golden Triangle neighbourhood. The Hotel is part of a 65-storey mixed-use tower that will include 242 Four Seasons Private Residences, 27 serviced apartments, a 209-key Four Seasons Hotel and a six- floor of 250,000 square foot luxury retail podium, collectively known as Four Seasons Place Kuala Lumpur.


The latest addition to the citys dramatic skyline and a vibrant hub for both business and leisure travellers, Four Seasons Hotel Kuala Lumpur is conveniently located in close proximity to the citys major attractions, including the Petronas Twin Towers and the Kuala Lumpur City Centre (KLCC). Often referred to as a city within a city, the KLCC will offer designer shopping, fine dining, and the best of the citys electric nightlife. The Hotel is also overlooking the KLCC Park and is directly connected to the esplanade, allowing guests to take full advantage of the Parks 50 acres of green space, including lush gardens, fountains, waterfalls, a wading pool, and jogging track.


An exciting addition to Kuala Lumpurs culinary scene, the Hotel is home to several unique dining outlets to the city, including a Cantonese restaurant, lobby and rooftop pool bars, and an all-day dining restaurant with sweeping views of the Petronas Twin Towers.


The Hotel is offering an executive lounge for business travellers, a serene spa, wellness-focused fitness centre and rooftop infinity pool offering panoramic views of Kuala Lumpurs endless skyline. Lush landscaping around the rooftop pool and terrace has created an urban oasis, echoing the greenery of the KLCC Park below.


Four Seasons Hotel Kuala Lumpur is offering both international and regional travellers an urban complement to the existing Four Seasons Resort in Malaysia, the award-winning Four Seasons Resort Langkawi.

About Four Seasons

Founded in 1960, Four Seasons continues to define the future of luxury hospitality with extraordinary imagination, unwavering commitment to the highest standards of quality, and the most genuine and customized service. Currently operating 105 hotels and private residences in major city centers and resort destination in 43 countries, and with more than 60 projects in development, Four Seasons consistently ranks among the worlds best hotels and most prestigious brands in reader polls, traveler reviews and industry awards.

Spa Receptionist
The Four Seasons Hotel Kuala Lumpur is looking for a Spa Receptionist. This person must have a commitment and passion and will provide a first class service to the Four Seasons Standards, ensuring that the guests needs are met and will do this in a pleasant manner as an ambassador for the Four Seasons product.

The role of the Spa Receptionist involves:
As a Spa Receptionist, you would be responsible for booking treatments for guests, checking guests in and out of the Spa, selling Spa product, and ensuring all guest have a positive Four Seasons Experience. The Spa Receptionist will be handling Cash or perform Cashiering tasks.

Candidates must have a firm knowledge of Spa and Health Club operations, and must have 1-2 year of experience as a in a similar role. Candidates must speak read and write Bahasa Malaysia as well as being fluent in English. Additional languages and advantage. Must have the right to work in Malaysia.

Visa sponsorship is not available for the role. Only successful candidates will be contacted.

Join Our Team
Join a team that is built on mutual respect, collaboration, creativity and a commitment to the highest quality of service. Four Seasons Hotel Kuala Lumpur provides guests with a haven of serenity and luxury in a bustling city. Four Seasons provides employees with the same level of care that we expect to be shared with our guests. We have been ranked in FORTUNE Magazines 100 Best Companies to work for since 1998.


What to expect: You will
Be a champion of the Golden Rule: Do unto others as you would have them do unto you
Be part of a cohesive team with opportunities to learn, grow and develop
Have the opportunity to engage in diverse and challenging work
Derive a sense of pride in work well done
Be recognized for excellence"
Helpdesk Senior Associate - Mandarin/Malay/English support,"Req ID: 30262

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our companys growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Helpdesk Senior Associate - Mandarin/Malay/English support to join our team in Cyberjaya, Selangor (MY-10), Malaysia (MY).

Responsible for providing phone and electronic based support.
Assist customers in determining problems, and provide resolutions.
Responsible for customer satisfaction through effective handling of customer problems and queries.
Ensures proper escalation procedures are followed.
Performs role according to standardized policies and procedures.
Analytical ability is required in order to resolve technical issues.
Works on routine to semi-routine assignments requiring basic analytical ability to resolve routine to moderately complex issues.
Normally receives little instruction on routine work and general instruction on new assignments.
Gains assistance from higher-level employees. Principal Duties and Responsibilities
Provides first-level support
Uses troubleshooting techniques and tools to identify technical defects/issues
Assigns incidents in line with documented guidelines and procedures
Actively supports the customer in all aspects through to problem resolution, keeping the customer informed and updated throughout life of incident
Clearly and concisely logs and tracks details of solutions provided to resolve customer issue (logs all ACD calls, emails and call-backs) maintaining and updating customer database
Consistently performs to set targets
Escalates problems in line with documented procedures, as appropriate
Maintains comprehensive knowledge of service offerings along with future industry products and technologies
Attends required technical training sessions and makes effective use of assigned lab time
Complies with schedule adherence to ensure overall service level targets are achieved

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the Company) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result."
Business Support Manager (Customer Contact Centre),"Business Support Manager (Customer Contact Centre)
The Business Support Manager plays a key role in providing customer service support for one or more assigned client Associations. The Business Support Manager leads a team of customer service executives for one or more assigned client Associations to provide professional membership service support in the Asia Pacific region. This includes timely responses to member queries, data/record maintenance, and supporting membership marketing campaigns and ad-hoc projects for assigned client Associations.

Main Responsibilities

Oversee the daily the operations of service teams located in various offices
Ensure the enquiry response time and service standards expected for each association are met
Establish daily work processes for the Business Support Team/Membership Service Teams
Ensure team is adequately trained and kept abreast of processes and product knowledge of associations assigned
Resolve customer services cases escalated by teams
Generate performance/operational reports as required


Job Requirements

Degree or Diploma qualification with excellent English communication skills (verbal and written)
At least 2 years' contact centre or customer service experience in a non-profit, non-governmental organisation (NGO), association sector or similar environment
Prior team lead or supervisory experience within the service sector or call centre environment will be highly advantageous
Able to adapt to changing needs and demands of key stakeholders/membership
Possess great customer service mind-set and proactive disposition to communicate and develop positive relationships with a wide variety of stakeholders
Well-developed organizational and leadership skills
Database management experience is beneficial"
Customer Relationship Officer,"Customer Relationship Officer(Job Number: 0061H)
Description


We are currently seeking Customer Relationship Officers to join our Contact Center. Reporting to the Team Manager, you will be focusing on direct customer servicing via telephone and taking ownership of each enquiries/complaints with proper follow up, actions to ensure resolution does reaching customer satisfaction. Constant contributions towards achieving service level and abandon rate targets.

The primary responsibility of the role includes (but is not limited to):
Service customers over the phone and practices telephone courtesies at all times.
Practicing quality in all aspect of the job to ensure customer satisfaction.
Continuously strive to achieve and exceed agreed productivity and KRA targets inline with unit objectives.
Ensure good customer retention by providing excellent and professional services.
Consistently cross sell and upsell groups financial products and services during customer interaction.
The successful candidate should be able to demonstrate the following selection criteria:
Minimum Diploma/Degree Holder, SPM / STPM with relevant work experience.
1 to 3 years experience of relevant working experience as Executive, Customer Relationship .
Able to work on shift (shift allowance provided).
Solid phone selling with excellent oral communication, interpersonal and active listening skills.
Acceptable level of written English.
Highly motivated, matured and committed individual.
Resourceful, proactive and able to work independently to produce high quality technical or professional work.
Getting results through personal proficiency.
Basic PC knowledge, with the ability to quickly adapt to new software applications.
Fast leaner and able to adopt stressful environment and fast moving work atmosphere."
