job_position,technology_skills,knowledge,skills
"Bookkeeping, Accounting, and Auditing Clerks",Accounting software ,Customer and Personal Service,Mathematics
, FlexiFinancials FlexiLedger,Clerical,Active Listening
, Intuit QuickBooks  ,Mathematics,Critical Thinking
, Sage 50 Accounting,Economics and Accounting,Reading Comprehension
, Tax software  (see all 35 examples)Business intelligence and data analysis software ,English Language,Speaking
, IBM Cognos Impromptu Compliance software ,Computers and Electronics,Writing
, Corporate Responsibility System Technologies Limited CRSTL Compliance Positioning System,,Monitoring
, FLS eDP.Payrolltax,,Time Management
, Intrax ProcedureNet,,
, Paisley Cardmap  (see all 7 examples)Customer relationship management CRM software ,,
, Blackbaud The Raiser's Edge  ,,
, Sage ACT! Data base reporting software ,,
, SAP Crystal Reports Data base user interface and query software ,,
, Data entry software  ,,
, Microsoft Access  ,,
, Sage 100 Contractor,,
, Yardi  (see all 5 examples)Desktop publishing software ,,
, Microsoft Publisher Document management software ,,
, Document management system software,,
, Iron Mountain Accutrac Records Management Software,,
, OmniRIM Records Management Suite,,
, Records management software Electronic mail software ,,
, IBM Notes  ,,
, Microsoft Outlook Enterprise application integration software ,,
, SAP BusinessObjects Data Integrator Enterprise resource planning ERP software   ,,
, Microsoft Dynamics  ,,
, NetSuite ERP  ,,
, Oracle PeopleSoft Financials,,
, SAP  (see all 16 examples)Financial analysis software ,,
, Delphi Technology  ,,
, Oracle E-Business Suite Financials  ,,
, Paisley AutoAudit,,
, RSM McGladrey Auditor Assistant  (see all 10 examples)Human resources software ,,
, ADP Workforce Now  ,,
, Human resource management software HRMS Information retrieval or search software ,,
, LexisNexis Internet browser software ,,
, Microsoft Internet Explorer Medical software ,,
, Healthcare common procedure coding system HCPCS  ,,
, Medical condition coding software  ,,
, Medical procedure coding software  ,,
, MEDITECH software Office suite software ,,
, Microsoft Office Operating system software ,,
, Microsoft Windows Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, HCSS HeavyBid,,
, HCSS HeavyJob,,
, Microsoft SharePoint Spreadsheet software ,,
, Microsoft Excel Time accounting software ,,
, ADP Pay eXpert,,
, HMS,,
, Payroll software Transaction server software ,,
, Customer information control system CICS  ,,
, Tumbleweed SecureTransport Word processing software ,,
, Microsoft Word ,,
Computer Operators,Access software ,Computers and Electronics,Operation Monitoring
, Citrix Application server software ,Customer and Personal Service,Active Listening
, Microsoft Windows Server Backup or archival software ,English Language,Critical Thinking
, Data3 ENGUARD,Mathematics,Monitoring
, EMC NetWorker,Clerical,Reading Comprehension
, Veritas NetBackup Data base management system software ,Telecommunications,Complex Problem Solving
, Oracle DBMS Data base reporting software ,Public Safety and Security,Speaking
, SAP BusinessObjects Crystal Reports Data base user interface and query software ,,Operation and Control
, IBM DB2,,Systems Analysis
, Microsoft Access  ,,Judgment and Decision Making
, Structured query language SQL  ,,Active Learning
, Teradata Enterprise Data Warehouse  (see all 7 examples)Development environment software ,,Coordination
, Common business oriented language COBOL Electronic mail software ,,Quality Control Analysis
, Email software,,Time Management
, IBM Notes  ,,Troubleshooting
, Microsoft Exchange Server  ,,Writing
, Microsoft Outlook Enterprise application integration software ,,
, BMC Software Control-M,,
, IBM WebSphere Enterprise resource planning ERP software   ,,
, SAP Enterprise system management software ,,
, IBM Power Systems software Filesystem software ,,
, IBM Tivoli NetView Distribution Manager Graphics or photo imaging software ,,
, Microsoft Visio Helpdesk or call center software ,,
, BMC Software Remedy IT Service Management Suite,,
, Hewlett-Packard HP OpenView Service Center Internet browser software ,,
, Web browser software Internet protocol IP multimedia subsystem software ,,
, File transfer protocol FTP software LAN software ,,
, Local area network LAN software Network monitoring software ,,
, IBM Tivoli OMEGAMON XE for CICS on z/OS,,
, Ipswitch WhatsUp Gold,,
, Micro Focus OpenView,,
, Novell NetWare  (see all 5 examples)Object or component oriented development software ,,
, Practical extraction and reporting language Perl  ,,
, Python  ,,
, Tandem advanced command language TACL Office suite software ,,
, Microsoft Office Operating system software ,,
, Hewlett Packard HP-UX,,
, Job control language JCL  ,,
, Linux  ,,
, UNIX  (see all 18 examples)Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Microsoft SharePoint Spreadsheet software ,,
, Microsoft Excel Storage networking software ,,
, EMC AlphaStor,,
, Storage area network SAN software Transaction server software ,,
, Customer information control system CICS WAN switching software and firmware ,,
, Wide area network WAN software Word processing software ,,
, Microsoft Word ,,
Correspondence Clerks,Data base user interface and query software ,,Writing
, Data entry software Electronic mail software ,,Reading Comprehension
, Microsoft Outlook Enterprise resource planning ERP software   ,,Active Listening
, SAP Graphics or photo imaging software ,,Critical Thinking
, Imaging software Medical software ,,Judgment and Decision Making
, Electronic health record EHR software Office suite software ,,Speaking
, Microsoft Office Project management software ,,Social Perceptiveness
, Microsoft SharePoint Spreadsheet software ,,Complex Problem Solving
, Microsoft Excel Word processing software ,,Coordination
, Microsoft Word ,,Service Orientation
,,,Time Management
Customer Service Representatives,Access software ,,Active Listening
, Citrix Accounting software ,,Speaking
, Fund accounting software  ,,Service Orientation
, Intuit QuickBooks  ,,Reading Comprehension
, Sage 50 Accounting Backup or archival software ,,Critical Thinking
, SugarSync Business intelligence and data analysis software ,,Persuasion
, IBM Cognos Impromptu Communications server software ,,Active Learning
, IBM Domino,,Monitoring
, ShoreTel Contact center software ,,Social Perceptiveness
, Multi-channel contact center software,,Time Management
, Timpani Contact Center,,
, Timpani Email Customer relationship management CRM software ,,
, Blackbaud The Raiser's Edge  ,,
, Parature eTicket,,
, Salesforce software  ,,
, Telemation e-CRM  (see all 16 examples)Data base user interface and query software ,,
, Customer service knowledge generation software,,
, Data entry software  ,,
, FileMaker Pro,,
, Microsoft Access  (see all 7 examples)Desktop publishing software ,,
, Microsoft Publisher Document management software ,,
, Adobe Systems Adobe Acrobat Electronic mail software ,,
, Astute Solutions PowerCenter,,
, IBM Notes  ,,
, Microsoft Outlook Enterprise resource planning ERP software   ,,
, Microsoft Dynamics  ,,
, NetSuite ERP  ,,
, Oracle PeopleSoft  ,,
, SAP  (see all 9 examples)Enterprise system management software ,,
, IBM Power Systems software Fax software ,,
," Open Text Fax Server, RightFax Edition Financial analysis software ",,
, Delphi Technology Graphics or photo imaging software ,,
, Adobe Systems Adobe Flash Helpdesk or call center software ,,
, j2 Global Communications onebox Human resources software ,,
, ADP Workforce Now  ,,
, Human resource management software HRMS Information retrieval or search software ,,
, LexisNexis Internet browser software ,,
, Microsoft Internet Explorer Materials requirements planning logistics and supply chain software ,,
, iShip Medical software ,,
, Healthcare common procedure coding system HCPCS  ,,
, Medical condition coding software  ,,
, Medical procedure coding software  ,,
, MEDITECH software Mobile messaging service software ,,
, Unified messaging software Network conferencing software ,,
, Active Data Online WebChat,,
, eStara Softphone,,
, Parature eRealtime,,
, Timpani Chat Network security and virtual private network VPN equipment software ,,
, Virtual private networking VPN software Office suite software ,,
, Microsoft Office Operating system software ,,
, Apple macOS  ,,
, Handheld computer device software  ,,
, Microsoft Windows Point of sale POS software ,,
, Main Street Softworks Monetra Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Microsoft SharePoint Spreadsheet software ,,
, Microsoft Excel Time accounting software ,,
, Kronos Workforce Timekeeper Transaction security and virus protection software ,,
, McAfee  ,,
, Symantec Video creation and editing software ,,
, YouTube Voice recognition software ,,
, DSC Pacer Interactive Voice Response System Web page creation and editing software ,,
