job_position,technology_skills,knowledge,skills
Distance Learning Coordinators,Computer based training software ,Education and Training,Active Listening
, Adobe Systems Adobe Captivate,Customer and Personal Service,Speaking
, Articulate Storyline,Communications and Media,Writing
, Campus Cruiser LMS,Computers and Electronics,Critical Thinking
, Moodle  (see all 6 examples)Data base reporting software ,English Language,Learning Strategies
, SAP Crystal Reports Data base user interface and query software ,Administration and Management,Reading Comprehension
, Blackboard  ,Telecommunications,Coordination
, Microsoft Access Desktop publishing software ,Personnel and Human Resources,Instructing
, Microsoft Publisher Development environment software ,Clerical,Social Perceptiveness
, Adobe Systems Adobe Creative Suite,,Active Learning
, Microsoft .NET Framework Document management software ,,Judgment and Decision Making
, Adobe Systems Adobe Acrobat Electronic mail software ,,Complex Problem Solving
, Microsoft Outlook Enterprise application integration software ,,Monitoring
, Extensible markup language XML Enterprise resource planning ERP software   ,,Persuasion
, Oracle PeopleSoft  ,,Systems Analysis
, SAP Graphics or photo imaging software ,,Systems Evaluation
, Adobe Systems Adobe Flash Instant messaging software ,,Service Orientation
, Twitter Internet browser software ,,Time Management
, Web browser software Network conferencing software ,,Management of Personnel Resources
, Adobe Systems Adobe Connect Object or component oriented development software ,,Negotiation
, C#  ,,
, C++  ,,
, Oracle Java Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, ConferenceEdge Spreadsheet software ,,
, Microsoft Excel Video conferencing software ,,
, Cisco Systems WebEx,,
, Videoconferencing software,,
, Web conferencing software Video creation and editing software ,,
, Podcasting software,,
, YouTube Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver  ,,
, Facebook  ,,
, LinkedIn Web platform development software ,,
, Hypertext markup language HTML Word processing software ,,
, Microsoft Word ,,
"Education Administrators, Elementary and Secondary School",Analytical or scientific software ,Administration and Management,Active Listening
, Minitab  ,English Language,Speaking
, SAS  ,Education and Training,Critical Thinking
, StataCorp Stata  ,Personnel and Human Resources,Learning Strategies
, The MathWorks MATLAB  (see all 5 examples)Calendar and scheduling software ,Customer and Personal Service,Reading Comprehension
, Google Calendar,Law and Government,Social Perceptiveness
, Scheduling software Communications server software ,Psychology,Judgment and Decision Making
, IBM Domino Data base management system software ,Mathematics,Writing
, Apache Cassandra Data base user interface and query software ,Public Safety and Security,Complex Problem Solving
, Blackboard  ,,Coordination
, LogicalBit Eimas,,Management of Personnel Resources
, Microsoft Access  ,,Monitoring
, School Attendance Keeper  (see all 6 examples)Desktop publishing software ,,Active Learning
, Microsoft Publisher Electronic mail software ,,Instructing
, Gmail,,Service Orientation
, Microsoft Outlook Enterprise resource planning ERP software   ,,Systems Evaluation
, Microsoft Dynamics GP  ,,Time Management
, NetSuite ERP  ,,Negotiation
, Thinc Technologies Virtual School,,Management of Financial Resources
, Wilcomp Software RenWeb  (see all 18 examples)Human resources software ,,Persuasion
, Human resource management software HRMS Internet browser software ,,Systems Analysis
, Web browser software Office suite software ,,Management of Material Resources
, Google Drive,,Mathematics
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Microsoft SharePoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
"Education Administrators, Postsecondary",Accounting software ,English Language,Critical Thinking
, Fund accounting software  ,Administration and Management,Reading Comprehension
, Sage 50 Accounting Analytical or scientific software ,Education and Training,Active Listening
, IBM SPSS Statistics  ,Customer and Personal Service,Instructing
, Minitab  ,Personnel and Human Resources,Monitoring
, SAS  ,Clerical,Speaking
, StataCorp Stata Customer relationship management CRM software ,Computers and Electronics,Time Management
, Blackbaud The Raiser's Edge Data base reporting software ,Communications and Media,Writing
, SAP BusinessObjects Crystal Reports Data base user interface and query software ,Mathematics,Active Learning
, Blackboard  ,Psychology,Complex Problem Solving
, Microsoft Access  ,,Judgment and Decision Making
, Student and Exchange Visitor Information System SEVIS,,Learning Strategies
, Student information systems SIS  (see all 7 examples)Desktop publishing software ,,Management of Personnel Resources
, Microsoft Publisher Electronic mail software ,,Social Perceptiveness
, Microsoft Outlook Enterprise resource planning ERP software   ,,Coordination
, Ellucian Colleague,,Negotiation
, Oracle PeopleSoft  ,,Persuasion
, SAP  ,,Service Orientation
, SunGard Higher Education Banner Unified Digital Campus  (see all 7 examples)Facilities management software ,,Systems Analysis
, CollegeNET Schedule 25 Graphics or photo imaging software ,,Systems Evaluation
, Microsoft Visio Human resources software ,,Management of Financial Resources
, Human resource management software HRMS Internet browser software ,,
, Web browser software Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Ellucian Degree Works,,
, Microsoft Project  ,,
, Microsoft SharePoint Spreadsheet software ,,
, Microsoft Excel Video creation and editing software ,,
, YouTube Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver  ,,
, Facebook  ,,
, LinkedIn Web platform development software ,,
, Hypertext markup language HTML Word processing software ,,
, Microsoft Word ,,
"Education Administrators, Preschool and Childcare Center/Program",Accounting software ,Customer and Personal Service,Active Listening
, Intuit QuickBooks  ,Education and Training,Coordination
, Intuit Quicken Data base user interface and query software ,Administration and Management,Critical Thinking
, Auburn Software Debit Square Desktop publishing software ,English Language,Monitoring
, Microsoft Publisher Electronic mail software ,Psychology,Reading Comprehension
, Microsoft Outlook Enterprise resource planning ERP software   ,Public Safety and Security,Speaking
, ACS Technologies HeadMaster,Personnel and Human Resources,Complex Problem Solving
, B&I Computer Consultants Childcare Sage,Sales and Marketing,Instructing
, SofterWare EZ-CARE2,Clerical,Judgment and Decision Making
, The Gallagher Group DataCare  (see all 20 examples)Internet browser software ,Mathematics,Service Orientation
, Web browser software Office suite software ,Economics and Accounting,Social Perceptiveness
, Microsoft Office Presentation software ,Computers and Electronics,Management of Personnel Resources
, Microsoft PowerPoint Spreadsheet software ,,Time Management
, Microsoft Excel Word processing software ,,Writing
, Microsoft Word ,,Learning Strategies
,,,Negotiation
,,,Active Learning
,,,Persuasion
,,,Management of Financial Resources
,,,Management of Material Resources
,,,Systems Analysis
,,,Systems Evaluation
Fitness and Wellness Coordinators,Calendar and scheduling software ,Customer and Personal Service,Coordination
, Work scheduling software Data base user interface and query software ,English Language,Critical Thinking
, Data entry software  ,Administration and Management,Social Perceptiveness
, MicroFit HealthWizard Desktop publishing software ,Education and Training,Speaking
, Microsoft Publisher Document management software ,Psychology,Active Listening
, Adobe Systems Adobe Acrobat Electronic mail software ,Sales and Marketing,Reading Comprehension
, Email software Internet browser software ,Communications and Media,Management of Personnel Resources
, Web browser software Office suite software ,Personnel and Human Resources,Service Orientation
, Microsoft Office Presentation software ,,Writing
, Microsoft PowerPoint Spreadsheet software ,,Active Learning
, Microsoft Excel Time accounting software ,,Judgment and Decision Making
, Payroll software Word processing software ,,Monitoring
, Microsoft Word ,,Persuasion
,,,Complex Problem Solving
,,,Instructing
,,,Learning Strategies
,,,Negotiation
,,,Time Management
,,,Systems Analysis
Archivists,Data base user interface and query software ,English Language,Reading Comprehension
, DiMeMa CONTENTdm,History and Archeology,Active Listening
, Gallery Systems The Museum System,Computers and Electronics,Writing
, Microsoft Access  ,Customer and Personal Service,Judgment and Decision Making
, PREMIS  (see all 8 examples)Development environment software ,Administration and Management,Active Learning
, Encoded Archival System EAD Document management software ,Clerical,Critical Thinking
, Adobe Systems Adobe Acrobat Electronic mail software ,Law and Government,Complex Problem Solving
, Microsoft Outlook Enterprise application integration software ,,Speaking
, Extensible markup language XML Graphics or photo imaging software ,,Time Management
, Adobe Systems Adobe Photoshop  ,,Coordination
, Corel Paint Shop Pro Internet browser software ,,Monitoring
, Web browser software Office suite software ,,Service Orientation
, Microsoft Office Presentation software ,,Social Perceptiveness
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Video creation and editing software ,,
, Adobe Systems Adobe Premiere Pro,,
, Apple Final Cut Pro Web platform development software ,,
, Dynamic hypertext markup language DHTML,,
, Hypertext markup language HTML Word processing software ,,
, Microsoft Word ,,
Audio-Visual and Multimedia Collections Specialists,Data base user interface and query software ,Computers and Electronics,Active Listening
, Microsoft Access Desktop publishing software ,Communications and Media,Critical Thinking
, Adobe Systems Adobe InDesign  ,Customer and Personal Service,Judgment and Decision Making
, Microsoft Publisher Document management software ,English Language,Speaking
, Adobe Systems Adobe Acrobat Electronic mail software ,Education and Training,Time Management
, Microsoft Outlook Graphics or photo imaging software ,Telecommunications,Troubleshooting
