job_position,technology_skills,knowledge,skills
Business Intelligence Analysts,Access software ,English Language,Critical Thinking
, Citrix Accounting software ,Sales and Marketing,Active Listening
, Fund accounting software Analytical or scientific software ,Administration and Management,Reading Comprehension
, Minitab  ,Mathematics,Active Learning
, SAS  ,Computers and Electronics,Speaking
, StataCorp Stata  ,Economics and Accounting,Judgment and Decision Making
, The MathWorks MATLAB  (see all 6 examples)Application server software ,Communications and Media,Systems Analysis
, GitHub  ,,Time Management
, Oracle WebLogic Server  ,,Writing
, Red Hat WildFly Backup or archival software ,,Complex Problem Solving
, Veritas NetBackup Business intelligence and data analysis software ,,Social Perceptiveness
, IBM Cognos Impromptu  ,,Systems Evaluation
, MicroStrategy  ,,Coordination
, Qlik Tech QlikView  ,,Mathematics
, Tableau  (see all 5 examples)Communications server software ,,Monitoring
, IBM Domino Computer aided design CAD software   ,,Persuasion
, PTC Creo Parametric Content workflow software ,,Learning Strategies
, Atlassian JIRA Customer relationship management CRM software ,,
, Blackbaud The Raiser's Edge  ,,
, Oracle Eloqua  ,,
, Oracle Siebel Marketing Resource Management,,
, Salesforce software Data base management system software ,,
, Apache Hadoop  ,,
, MongoDB  ,,
, Oracle PL/SQL  ,,
, Teradata Database  (see all 12 examples)Data base reporting software ,,
, Microsoft SQL Server Reporting Services  ,,
, Panorama NovaView,,
, SAP Crystal Reports  ,,
, SiSense Prism  (see all 7 examples)Data base user interface and query software ,,
, FileMaker Pro,,
, Microsoft Access  ,,
, Structured query language SQL  ,,
, Transact-SQL  (see all 10 examples)Data mining software ,,
, Data warehouse software,,
, Google Analytics  ,,
, Informatica Data Explorer,,
, SAP NetWeaver Business Warehouse Desktop publishing software ,,
, Microsoft Publisher Development environment software ,,
, Apache Kafka  ,,
, C  ,,
, Eclipse IDE  ,,
, Microsoft PowerShell  (see all 14 examples)Document management software ,,
, Adobe Systems Adobe Acrobat Electronic mail software ,,
, IBM Notes  ,,
, Microsoft Exchange Server  ,,
, Microsoft Outlook Enterprise application integration software ,,
, Extensible markup language XML  ,,
, IBM InfoSphere DataStage  ,,
, IBM WebSphere  ,,
, SAP BusinessObjects Data Integrator Enterprise resource planning ERP software   ,,
, Microsoft Dynamics GP  ,,
, NetSuite ERP  ,,
, Oracle PeopleSoft  ,,
, SAP  (see all 10 examples)Enterprise system management software ,,
, IBM Power Systems software  ,,
, Splunk Enterprise Financial analysis software ,,
, Delphi Technology  ,,
, IBM Unica Enterprise,,
, Oracle E-Business Suite Financials Graphics or photo imaging software ,,
, Adobe Systems Adobe Flash,,
, Microsoft Visio Human resources software ,,
, Human resource management software HRMS  ,,
, Oracle Taleo Information retrieval or search software ,,
, LexisNexis Map creation software ,,
, ESRI ArcGIS software  ,,
, Geographic information system GIS software Medical software ,,
, Epic Systems  ,,
, Healthcare common procedure coding system HCPCS  ,,
, Medical condition coding software  ,,
, MEDITECH software  (see all 5 examples)Metadata management software ,,
, CA Erwin Data Modeler  ,,
, Data modeling software Network monitoring software ,,
, Nagios  ,,
, Wireshark Network security and virtual private network VPN equipment software ,,
, Virtual private networking VPN software Object or component oriented development software ,,
, C++  ,,
, Microsoft ActiveX  ,,
, Python  ,,
, Scala  (see all 11 examples)Object oriented data base management software ,,
, Hibernate ORM  ,,
, PostgreSQL Office suite software ,,
, Microsoft Office Operating system software ,,
, Bash  ,,
, Linux  ,,
, Shell script  ,,
, UNIX  (see all 10 examples)Portal server software ,,
, Apache HTTP Server Presentation software ,,
