job_position,technology_skills,knowledge,skills
Distance Learning Coordinators,Computer based training software,Education and Training,Active Listening
,Adobe Systems Adobe Captivate; Articulate Storyline; Campus Cruiser LMS; Moodle  (see all 6 examples)Data base reporting software,Customer and Personal Service,Speaking
,SAP Crystal Reports Data base user interface and query software,Communications and Media,Writing
,Blackboard ,Computers and Electronics,Critical Thinking
,Microsoft Access Desktop publishing software,English Language,Learning Strategies
,Microsoft Publisher Development environment software,Administration and Management,Reading Comprehension
,Adobe Systems Adobe Creative Suite; Microsoft .NET Framework Document management software,Telecommunications,Coordination
,Adobe Systems Adobe Acrobat Electronic mail software,Personnel and Human Resources,Instructing
,Microsoft Outlook Enterprise application integration software,Clerical,Social Perceptiveness
,Extensible markup language XML Enterprise resource planning ERP software  ,,Active Learning
,Oracle PeopleSoft ,,Judgment and Decision Making
,SAP Graphics or photo imaging software,,Complex Problem Solving
,Adobe Systems Adobe Flash Instant messaging software,,Monitoring
,Twitter Internet browser software,,Persuasion
,Web browser software Network conferencing software,,Systems Analysis
,Adobe Systems Adobe Connect Object or component oriented development software,,Systems Evaluation
,C# ,,Service Orientation
,C++ ,,Time Management
,Oracle Java Office suite software,,Management of Personnel Resources
,Microsoft Office Presentation software,,Negotiation
,Microsoft PowerPoint Project management software,,
,ConferenceEdge Spreadsheet software,,
,Microsoft Excel Video conferencing software,,
,Cisco Systems WebEx; Videoconferencing software; Web conferencing software Video creation and editing software,,
,Podcasting software; YouTube Web page creation and editing software,,
,Adobe Systems Adobe Dreamweaver ,,
,Facebook ,,
,LinkedIn Web platform development software,,
,Hypertext markup language HTML Word processing software,,
,Microsoft Word ,,
"Education Administrators, Elementary and Secondary School",Analytical or scientific software,Administration and Management,Active Listening
,Minitab ,English Language,Speaking
,SAS ,Education and Training,Critical Thinking
,StataCorp Stata ,Personnel and Human Resources,Learning Strategies
,The MathWorks MATLAB  (see all 5 examples)Calendar and scheduling software,Customer and Personal Service,Reading Comprehension
,Google Calendar; Scheduling software Communications server software,Law and Government,Social Perceptiveness
,IBM Domino Data base management system software,Psychology,Judgment and Decision Making
,Apache Cassandra Data base user interface and query software,Mathematics,Writing
,Blackboard ,Public Safety and Security,Complex Problem Solving
,LogicalBit Eimas; Microsoft Access ,,Coordination
,School Attendance Keeper  (see all 6 examples)Desktop publishing software,,Management of Personnel Resources
,Microsoft Publisher Electronic mail software,,Monitoring
,Gmail; Microsoft Outlook Enterprise resource planning ERP software  ,,Active Learning
,Microsoft Dynamics GP ,,Instructing
,NetSuite ERP ,,Service Orientation
,Thinc Technologies Virtual School; Wilcomp Software RenWeb  (see all 18 examples)Human resources software,,Systems Evaluation
,Human resource management software HRMS Internet browser software,,Time Management
,Web browser software Office suite software,,Negotiation
,Google Drive; Microsoft Office Presentation software,,Management of Financial Resources
