job_position,technology_skills,knowledge,skills
Aquacultural Managers,Analytical or scientific software ,Biology,Monitoring
, Statistical analysis software Calendar and scheduling software ,Administration and Management,Speaking
, Staff scheduling software Data base user interface and query software ,English Language,Critical Thinking
, Data entry software  ,Production and Processing,Time Management
, Fish stocking databases,Mathematics,Judgment and Decision Making
, Hatchery database systems,Food Production,Reading Comprehension
, Microsoft Access Internet browser software ,Customer and Personal Service,Active Listening
, Web browser software Office suite software ,Mechanical,Complex Problem Solving
, Microsoft Office Presentation software ,Personnel and Human Resources,Management of Personnel Resources
, Microsoft PowerPoint Project management software ,Computers and Electronics,Social Perceptiveness
, AquaSoft Farm Manager Spreadsheet software ,Building and Construction,Writing
, Microsoft Excel Time accounting software ,,Active Learning
, Time reporting software Word processing software ,,Operation Monitoring
, Microsoft Word ,,Science
,,,Systems Analysis
,,,Systems Evaluation
,,,Coordination
,,,Learning Strategies
,,,Negotiation
,,,Operation and Control
,,,Persuasion
,,,Instructing
,,,Quality Control Analysis
,,,Service Orientation
"Buyers and Purchasing Agents, Farm Products",Accounting software ,Mathematics,Critical Thinking
, Deltek Costpoint Data base user interface and query software ,Customer and Personal Service,Speaking
, Microsoft Access  ,Transportation,Active Listening
, Product producer databases Electronic mail software ,Economics and Accounting,Judgment and Decision Making
, IBM Lotus Notes,English Language,Negotiation
, Microsoft Outlook Enterprise resource planning ERP software   ,Sales and Marketing,Persuasion
, Enterprise resource planning ERP system,Computers and Electronics,Reading Comprehension
, Microsoft Dynamics GP  ,Administration and Management,Complex Problem Solving
, SAP Internet browser software ,Food Production,Active Learning
, Web browser software Inventory management software ,Production and Processing,Coordination
, Inventory management systems Office suite software ,Law and Government,Monitoring
, Microsoft Office Presentation software ,Public Safety and Security,Social Perceptiveness
, Microsoft PowerPoint Project management software ,,Time Management
, Microsoft Project Spreadsheet software ,,Writing
, Microsoft Excel Word processing software ,,Management of Personnel Resources
, Microsoft Word ,,Mathematics
,,,Service Orientation
,,,Systems Analysis
Farm and Ranch Managers,Accounting software ,Food Production,Critical Thinking
, AgData Blue Skies Accounting,Administration and Management,Judgment and Decision Making
, Datatech The Farmer's Office,Mathematics,Speaking
, Specialized Data Systems Ultra Farm,Production and Processing,Coordination
, Vertical Solutions Easy-Farm Accounting  (see all 6 examples)Analytical or scientific software ,Economics and Accounting,Monitoring
, MapShots EASi Suite,Education and Training,Active Listening
, SST Development Group SSToolbox,Mechanical,Time Management
, Sunrise Software CropSave Data base user interface and query software ,Biology,Complex Problem Solving
, Ag Leader Technology SMS Advanced,English Language,Operation Monitoring
, Cattlesoft CattleMax,Sales and Marketing,Persuasion
, TapLogic FarmLogic,Chemistry,Reading Comprehension
, Trimble Farm Works  (see all 18 examples)Electronic mail software ,Engineering and Technology,Systems Analysis
, Email software,Public Safety and Security,Active Learning
, Microsoft Outlook Enterprise resource planning ERP software   ,Transportation,Mathematics
, i.Agri LandMark Farm,,Negotiation
, International Response Technologies CowChip - Ranch House,,Operation and Control
, Midwest MicroSystems Cow Sense,,Quality Control Analysis
, SAP  (see all 12 examples)Industrial control software ,,Systems Evaluation
, AGCO Advanced Technology Solutions Fieldstar,,Learning Strategies
, ZedX AgFleet Internet browser software ,,Management of Personnel Resources
, Web browser software Map creation software ,,Social Perceptiveness
, DIVA-GIS,,
, ESRI ArcPad,,
, Geographic resources analysis support system GRASS,,
, TatukGIS Editor  (see all 9 examples)Mobile location based services software ,,
, Global positioning system GPS software Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Time accounting software ,,
, Countryside Data Ag Payroll,,
, Payroll software Word processing software ,,
, Microsoft Word ,,
Farm Labor Contractors,Accounting software ,Foreign Language,Speaking
, Bookkeeping software,Food Production,Active Listening
, Financial accounting software Data base user interface and query software ,Mathematics,Management of Personnel Resources
, E-Verify,Personnel and Human Resources,Time Management
, Microsoft Access Electronic mail software ,Production and Processing,Coordination
, Microsoft Outlook Internet browser software ,Law and Government,Critical Thinking
, Web browser software Spreadsheet software ,Customer and Personal Service,Judgment and Decision Making
, Microsoft Excel Word processing software ,,Social Perceptiveness
, Microsoft Word ,,
Nursery and Greenhouse Managers,Electronic mail software ,Administration and Management,Management of Personnel Resources
, Email software Enterprise resource planning ERP software   ,Production and Processing,Speaking
, Argos Software ABECAS Insight,Personnel and Human Resources,Coordination
, Innovative Software Solutions Picas Internet browser software ,Biology,Monitoring
, Web browser software Office suite software ,Sales and Marketing,Active Listening
, Microsoft Office Spreadsheet software ,Customer and Personal Service,Critical Thinking
, Microsoft Excel Word processing software ,Mathematics,Instructing
, Microsoft Word ,Chemistry,Judgment and Decision Making
,,Economics and Accounting,Time Management
,,Transportation,Complex Problem Solving
,,Education and Training,Negotiation
,,English Language,Social Perceptiveness
,,Mechanical,Active Learning
,,Design,Persuasion
,,,Reading Comprehension
,,,Management of Material Resources
,,,Service Orientation
,,,Systems Evaluation
,,,Writing
,,,Learning Strategies
,,,Management of Financial Resources
Animal Breeders,Analytical or scientific software ,Customer and Personal Service,Critical Thinking
, Questionmark Perception,Sales and Marketing,Active Learning
, VSN International GenStat Computer based training software ,Administration and Management,Active Listening
, Respondus Data base user interface and query software ,Biology,Complex Problem Solving
, Breedtrak,Mathematics,Judgment and Decision Making
, KinTraks,Clerical,Monitoring
, Reudink Software ZooEasy,,Science
, Winners Programs BirdStud  (see all 5 examples)Electronic mail software ,,Speaking
, Email software Internet browser software ,,
, Microsoft Internet Explorer Office suite software ,,
, Microsoft Office Spreadsheet software ,,
, Microsoft Excel ,,
Animal Scientists,Analytical or scientific software ,Biology,Science
, Deoxyribonucleic acid DNA sequence analysis software,English Language,Critical Thinking
, Nutrition Balance Analyzer NUTBAL,Chemistry,Reading Comprehension
, SAS  ,Mathematics,Speaking
, VSNi GenStat  (see all 10 examples)Computer aided design CAD software   ,Food Production,Writing
, Autodesk AutoCAD Data base user interface and query software ,Education and Training,Active Learning
, DAGRIS,Computers and Electronics,Active Listening
, Domestic Animal Diversity Information Service DAD-IS,Administration and Management,Complex Problem Solving
, Microsoft Access  ,Customer and Personal Service,Judgment and Decision Making
, Online Mendelian Inheritance in Animals OMIA Electronic mail software ,Production and Processing,Systems Analysis
, Email software Internet browser software ,Engineering and Technology,Monitoring
, Web browser software Map creation software ,Sales and Marketing,Mathematics
, ESRI ArcGIS software Office suite software ,,Coordination
, Microsoft Office Operating system software ,,Learning Strategies
, Palm OS Spreadsheet software ,,Systems Evaluation
, Microsoft Excel Word processing software ,,Instructing
, Microsoft Word ,,Time Management
,,,Social Perceptiveness
"Farmworkers, Farm, Ranch, and Aquacultural Animals",,,Active Listening
,,,Critical Thinking
,,,Monitoring
,,,Coordination
,,,Operation and Control
,,,Operation Monitoring
,,,Complex Problem Solving
,,,Speaking
,,,Equipment Selection
,,,Judgment and Decision Making
,,,Social Perceptiveness
,,,Time Management
,,,Troubleshooting
Nonfarm Animal Caretakers,Calendar and scheduling software ,,Active Listening
, Appointment-Plus,,Monitoring
, Groom Pro,,Service Orientation
, Mobile Dog Grooming Software mGroomer,,Judgment and Decision Making
, Petschedule Data base user interface and query software ,,Reading Comprehension
, CEEJS The Pet Groomer's Secretary,,Speaking
, Kennel Link,,
, Microsoft Access  ,,
