job_position,technology_skills,knowledge,skills
Aerospace Engineers,Analytical or scientific software ,Engineering and Technology,Critical Thinking
, The MathWorks MATLAB  ,Mathematics,Reading Comprehension
, Thermal Synthesizer System TSS,Design,Science
, Universal Technical Systems TK Solver,Physics,Active Listening
, Wolfram Research Mathematica  (see all 35 examples)Computer aided design CAD software   ,Computers and Electronics,Complex Problem Solving
, Autodesk AutoCAD  ,English Language,Mathematics
, Dassault Systemes CATIA  ,Mechanical,Operations Analysis
, PTC Creo Parametric  ,Production and Processing,Speaking
, Xilinx TMRTool  (see all 8 examples)Computer aided manufacturing CAM softwareConfiguration management software ,,Writing
, IBM Rational ClearCase Data base user interface and query software ,,Judgment and Decision Making
, Microsoft Access Development environment software ,,Monitoring
, Ada,,Active Learning
, Microsoft Visual Basic  ,,Systems Evaluation
, National Instruments LabVIEW  ,,Learning Strategies
, Verilog  (see all 7 examples)Enterprise application integration software ,,Systems Analysis
, Extensible markup language XML Graphics or photo imaging software ,,Coordination
, Image processing systems Object or component oriented development software ,,Quality Control Analysis
, Microsoft Visual C++,,Technology Design
, Practical extraction and reporting language Perl  ,,Time Management
, Python  ,,Persuasion
, Sun Microsystems Java Office suite software ,,Instructing
, Microsoft Office Operating system software ,,Negotiation
, Hewlett-Packard HP OpenVMS,,Social Perceptiveness
, Linux  ,,
, UNIX Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Microsoft Project  ,,
, PTC Pro/INTRALINK Requirements analysis and system architecture software ,,
, IBM Rational DOORS,,
, IBM Rational Requisite Pro Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Architectural and Engineering Managers,Access software ,Engineering and Technology,Reading Comprehension
, Citrix Accounting software ,Design,Critical Thinking
, Sage 50 Accounting Analytical or scientific software ,Mathematics,Active Listening
, HEC-1,Administration and Management,Complex Problem Solving
, IBM SPSS Statistics  ,English Language,Coordination
, Minitab  ,Computers and Electronics,Judgment and Decision Making
, The MathWorks MATLAB  (see all 6 examples)Application server software ,Customer and Personal Service,Speaking
, Docker  ,Physics,Time Management
, GitHub Business intelligence and data analysis software ,Personnel and Human Resources,Mathematics
, Qlik Tech QlikView Calendar and scheduling software ,Production and Processing,Monitoring
, Maintenance scheduling software,Mechanical,Writing
, Scheduling software Computer aided design CAD software   ,Law and Government,Active Learning
, Autodesk AutoCAD  ,Public Safety and Security,Social Perceptiveness
, Bentley MicroStation  ,,Negotiation
, Dassault Systemes CATIA  ,,Persuasion
, PTC Creo Parametric  (see all 11 examples)Computer aided manufacturing CAM software ,,Instructing
, Delcam PowerMILL,,Systems Analysis
, Geometric CAMWorks,,Systems Evaluation
, Open Mind hyperMILL Configuration management software ,,Learning Strategies
, Chef  ,,Management of Personnel Resources
, Perforce Helix software  ,,Management of Financial Resources
, Puppet Content workflow software ,,Management of Material Resources
, Atlassian JIRA  ,,Service Orientation
, Workflow software Data base management system software ,,
, Apache Hive  ,,
, Elasticsearch  ,,
, MongoDB  ,,
, Teradata Database  (see all 11 examples)Data base user interface and query software ,,
, AWS Redshift  ,,
, Data entry software  ,,
, Microsoft Access  ,,
, Structured query language SQL  (see all 5 examples)Development environment software ,,
, Apache Kafka  ,,
, Microsoft Visual Basic  ,,
, National Instruments LabVIEW  ,,
, Ruby  (see all 8 examples)Document management software ,,
, Adobe Systems Adobe Acrobat Pro Extended,,
, Adobe Systems Adobe LifeCycle ES Electronic mail software ,,
, IBM Notes  ,,
, Microsoft Outlook Enterprise application integration software ,,
, Extensible markup language XML Enterprise resource planning ERP software   ,,
, Agile Product Lifecyle Management PLM,,
, Microsoft Dynamics NAV,,
, Oracle JD Edwards EnterpriseOne  ,,
, SAP  (see all 5 examples)Enterprise system management software ,,
, Splunk Enterprise Expert system software ,,
, Ansible software File versioning software ,,
, Git Graphics or photo imaging software ,,
, Microsoft Visio  ,,
, Trimble SketchUp Pro Industrial control software ,,
, RTA Fleet Management,,
, Supervisory control and data acquisition SCADA software Internet browser software ,,
, Web browser software Inventory management softwareMap creation software ,,
, ESRI ArcGIS software  ,,
, ESRI ArcView,,
, Geographic information system GIS software Materials requirements planning logistics and supply chain software ,,
, LSA Visual Easy Lean Network monitoring software ,,
, Wireshark Network security and virtual private network VPN equipment software ,,
, Virtual private networking VPN software Object or component oriented development software ,,
, C++  ,,
, Oracle Java  ,,
, Python  ,,
, Swift  (see all 8 examples)Object oriented data base management software ,,
, PostgreSQL Office suite software ,,
, Microsoft Office Operating system software ,,
, Bash  ,,
, Cisco Systems IOS,,
, Linux  ,,
, UNIX  (see all 6 examples)Presentation software ,,
, Microsoft PowerPoint Program testing software ,,
, Hewlett Packard LoadRunner Project management software ,,
, Confluence  ,,
, Microsoft Project  ,,
, Oracle Primavera Enterprise Project Portfolio Management  ,,
, The Gordian Group PROGEN Online  (see all 5 examples)Spreadsheet software ,,
, Microsoft Excel Time accounting software ,,
, Kronos Workforce Timekeeper Transaction server software ,,
, Customer information control system CICS Web platform development software ,,
, Backbone.js  ,,
, Django  ,,
, JavaScript  ,,
, PHP: Hypertext Preprocessor  (see all 7 examples)Word processing software ,,
, Microsoft Word ,,
Automotive Engineers,Analytical or scientific software ,Engineering and Technology,Complex Problem Solving
, Gamma Technologies GT-SUITE,Design,Critical Thinking
, Maplesoft Maple,Mathematics,Judgment and Decision Making
, Minitab  ,Physics,Reading Comprehension
, SoMat eDAQ  (see all 18 examples)Computer aided design CAD software   ,English Language,Speaking
, Autodesk AutoCAD  ,Mechanical,Active Listening
, Dassault Systemes CATIA  ,Production and Processing,Mathematics
, MAHLE Powertrain,Administration and Management,Writing
, Think3 ThinkDesign Engineering  (see all 12 examples)Computer aided manufacturing CAM software ,Computers and Electronics,Coordination
, CNC Mastercam Data base user interface and query software ,Customer and Personal Service,Operations Analysis
, Structured query language SQL Development environment software ,Transportation,Systems Analysis
, C  ,Chemistry,Systems Evaluation
, Digital Equipment Corporation DIGITAL Fortran 90,,Active Learning
, Very high speed integrated circuit VHSIC hardware description language VHDL Electronic mail software ,,Monitoring
, IBM Notes Enterprise application integration software ,,Technology Design
, Extensible markup language XML Graphics or photo imaging software ,,Science
